CO_PER_ROL,CUSIP,CONAME,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,YEAR,TWITTER,T_NAME,Search Date,company related,personal related,Note,
2679,G6359F10,NABORS INDUSTRIES LTD,Eugene,Eugene M. Isenberg,Isenberg,2011,,,,,,,
35637,23719410,DARDEN RESTAURANTS INC,Eugene,"Eugene I. Lee, Jr.","Lee, Jr.",2016,X,X,,,,,
17872,20741010,CONMED CORP,Eugene,Eugene R. Corasanti,Corasanti,2006,X,X,,,,,
51848,90333L20,U S CONCRETE INC,Eugene,Eugene P. Martineau,Martineau,2007,X,X,,,,,
31948,25375210,DIGENE CORP,Evan,Evan Jones,Jones,2006,X,X,,,,,
27851,16890510,CHILDRENS PLACE INC,Ezra,Ezra Dabah,Dabah,2007,X,X,,,,,
45776,44106010,HOSPIRA INC,F.,F. Michael Ball,Ball,2014,X,X,,,,,
28860,17179810,CIMAREX ENERGY CO,F.,F. H. Merelli,Merelli,2011,X,X,,,,,
37911,69329Y10,PDL BIOPHARMA INC,Faheem,Faheem Hasnain,Hasnain,2008,X,X,,,,,
36159,9091120,BIOLASE INC,Federico,Federico Pignatelli,Pignatelli,2014,X,X,,,,,
35159,45170X20,IDENTIV INC,Felix,Felix Marx,Marx,2010,X,X,,,,,
29263,17003280,CHIQUITA BRANDS INTL INC,Fernando,Fernando G. Aguirre,Aguirre,2012,X,X,,,,,
47910,88157K10,TESCO CORP,Fernando,Fernando Rafael Assing,Assing,2016,X,X,,,,,
46834,91290910,UNITED STATES STEEL CORP,Filho,Filho Mario Longhi,Longhi,2016,X,X,,,,,
49715,74381510,PROVIDENCE SERVICE CORP,Fletcher,Fletcher Jay McCusker,McCusker,2012,X,X,,,,,
34977,8860600,PETROHAWK ENERGY CORP,Floyd,Floyd C. Wilson,Wilson,2010,X,X,,,,,
6649,2989910,AMERICAN STATES WATER CO,Floyd,Floyd E. Wicks,Wicks,2008,X,X,,,,,
25411,43707610,HOME DEPOT INC,Francis,Francis S. Blake,Blake,2014,X,X,,,,,
44481,42087720,HAYNES INTERNATIONAL INC,Francis,Francis Petro,Petro,2008,X,X,,,,,
53194,62538310,MULTI-COLOR CORP,Francis,Francis D. Gerace,Gerace,2009,X,X,,,,,
48061,4.04E+14,HCI GROUP INC,Francis,"Francis X. McCahill, III","McCahill, III",2010,X,X,,,,,
36267,90210410,II-VI INC,Francis,Francis J. Kramer,Kramer,2016,X,X,,,,,
49389,91126820,UNITED ONLINE INC,Francis,Francis Lobo,Lobo,2015,X,X,,,,,
36443,87157D10,SYNAPTICS INC,Francis,Francis F. Lee,Lee,2009,X,X,,,,,
24420,86074Q10,STILLWATER MINING CO,Francis,Francis R. McAllister,McAllister,2012,X,X,,,,,
23105,29084Q10,EMCOR GROUP INC,Francis,Francis T. MacInnis,MacInnis,2010,X,X,,,,,
37709,87910110,TEKELEC,Franco,Franco Plastina,Plastina,2010,X,X,,,,,
16580,10467410,BRADY CORP,Frank,Frank M. Jaehnert,Jaehnert,2013,X,X,,,,,
21783,40413210,HCC INSURANCE HOLDINGS INC,Frank,Frank J. Bramanti,Bramanti,2008,X,X,,,,,
34117,59140710,METAVANTE TECHNOLOGIES INC,Frank,Frank R. Martire,Martire,2008,X,X,,,,,
8015,15670810,CEPHALON INC,Frank,"Frank Baldino, Jr.","Baldino, Jr.",2010,X,X,,,,2010??,
44824,58342110,MEASUREMENT SPECIALTIES INC,Frank,"Frank D. Guidone, Jr.","Guidone, Jr.",2013,X,X,,,,,
2666,3110010,AMETEK INC,Frank,Frank S. Hermance,Hermance,2015,X,X,,,,,
25500,37718510,GLASSBRIDGE ENTERPRISES INC,Frank,Frank P. Russomanno,Russomanno,2010,X,X,,,,,
27172,29384810,ENTRUST INC,Frank,Frank William Conner,Conner,2008,X,X,,,,,
6542,74968510,RPM INTERNATIONAL INC,Frank,Frank C. Sullivan,Sullivan,2016,X,X,,,,,
51689,92345Y10,VERISK ANALYTICS INC,Frank,Frank J. Coyne,Coyne,2012,X,X,,,,,
43602,37247610,GEORESOURCES INC,Frank,Frank A. Lodzinski,Lodzinski,2011,X,X,,,,,
15170,20337210,COMMSCOPE INC,Frank,Frank M. Drendel,Drendel,2009,X,X,,,,,
42465,31620M10,FIDELITY NATIONAL INFO SVCS,Frank,Frank R. Martire,Martire,2014,X,X,,,,,
38911,25454610,DIONEX CORP,Franklin,"Franklin R. Witney, Ph.D.","Witney, Ph.D.",2010,X,X,,,,,
41768,00826T10,AFFYMETRIX INC,Franklin,"Franklin R. Witney, Ph.D.","Witney, Ph.D.",2014,X,X,,,,,
32168,80854110,SCHWEITZER-MAUDUIT INTL INC,Frdric,Frdric P. Villoutreix,Villoutreix,2016,X,X,,,,,
26729,80660510,SCHERING-PLOUGH,Fred,Fred Hassan,Hassan,2008,X,X,,,,,
17734,9182610,BLACK BOX CORP,Fred,Fred C. Young,Young,2006,X,X,,,,,
47791,12812610,CALAMP CORP,Fred,Fred M. Sturm,Sturm,2007,X,X,,,,,
32581,84756010,SPECTRA ENERGY CORP,Fred,Fred J. Fowler,Fowler,2008,X,X,,,,,
55626,13123X10,CALLON PETROLEUM CO/DE,Fred,Fred L. Callon,Callon,2016,X,X,,,,??,
39636,12803020,CAL-MAINE FOODS INC,Fred,"Fred R. Adams, Jr.","Adams, Jr.",2009,X,X,,,,,
6005,37190110,GENTEX CORP,Fred,Fred T. Bauer,Bauer,2016,X,X,,,,,
45423,88654710,TIFFANY & CO,Frederic,Frederic Patrick Cumenal,Cumenal,2016,X,X,,,,,
21855,89289310,TRANE INC,Frederic,Frederic M. Poses,Poses,2007,X,X,,,,,
43628,G1991C10,CARDTRONICS PLC,Frederick,Frederick Rice Lummis,Lummis,2009,X,X,,,,,
27299,41086710,HANOVER INSURANCE GROUP INC,Frederick,"Frederick Henry Eppinger, Jr.","Eppinger, Jr.",2015,X,X,,,,,
50311,73287210,POPEYES LOUISIANA KITCHEN,Frederick,"Frederick B. Beilstein, III, Sr.","Beilstein, III, Sr.",2007,X,X,,,,,
39878,14622910,CARTER'S INC,Frederick,"Frederick J. Rowan, II","Rowan, II",2008,X,X,,,,,
885,31428X10,FEDEX CORP,Frederick,Frederick W. Smith,Smith,2016,X,X,,,,,
15337,71712410,PHARMACEUTICAL PROD DEV INC,Fredric,Fredric N. Eshelman,Eshelman,2008,X,X,,,,,
31115,50189K10,LCI INDUSTRIES,Fredric,Fredric M. Zinn,Zinn,2012,X,X,,,,,
36566,87236Y10,TD AMERITRADE HOLDING CORP,Fredric,Fredric J. Tomczyk,Tomczyk,2016,X,X,,,,,
34437,43114K10,HIGHPOINT RESOURCES CORP,Fredrick,Fredrick J. Barrett,Barrett,2012,X,X,,,,,
33341,80862K10,SCICLONE PHARMACEUTICALS INC,Friedhelm,"Friedhelm Blobel, Ph.D.","Blobel, Ph.D.",2016,X,X,,,,,
34104,85590A40,STARWOOD HOTELS&RESORTS WRLD,Frits,Frits D. Van Paasschen,Van Paasschen,2015,X,X,,,,,
38556,29089Q10,EMERGENT BIOSOLUTIONS INC,Fuad,Fuad El-Hibri,El-Hibri,2011,X,X,,,,,
13527,3948310,ARCHER-DANIELS-MIDLAND CO,G.,G. Allen Andreas,Andreas,2006,X,X,,,,,
2691,3741110,APACHE CORP,G.,G. Steven Farris,Farris,2014,X,X,,,,,
997,37045V10,GENERAL MOTORS CO,G.,"G. Richard Wagoner, Jr.","Wagoner, Jr.",2008,X,X,,,,,
46060,45825N10,INTELIQUENT INC,G.,G. Edward Evans,Evans,2014,X,X,,,,,
16118,92990310,WACHOVIA CORP,G.,G. Kennedy Thompson,Thompson,2007,X,X,,,,,
39403,80299Z00,SANTANDER HOLDINGS USA INC,Gabriel,Gabriel Sanint Jaramillo,Jaramillo,2010,X,X,,,,,
51505,21031310,CONSTANT CONTACT INC,Gail,Gail F. Goodman,Goodman,2014,https://twitter.com/Gail_Goodman,Gail_Goodman,2019/1/26,15,5,,
27079,92939U10,WEC ENERGY GROUP INC,Gale,Gale E. Klappa,Klappa,2015,X,X,,,,,
29691,24791620,DENBURY RESOURCES INC,Gareth,Gareth Roberts,Roberts,2008,X,X,,,,,
44997,52471Y10,LEGACY TEX FINANCIAL GRP INC,Garold,Garold R. Base,Base,2011,X,X,,,,,
45608,797310,ADVANCED ENERGY INDS INC,Garry,Garry W. Rogerson,Rogerson,2014,X,X,,,,,
24759,92220610,VARIAN INC,Garry,Garry W. Rogerson,Rogerson,2009,X,X,,,,,
34676,37439310,GEVITY HR INC,Garry,Garry J. Welsh,Welsh,2008,X,X,,,,,
19806,05379B10,AVISTA CORP,Gary,Gary G. Ely,Ely,2007,X,X,,,,,
31430,20588710,CONAGRA BRANDS INC,Gary,Gary M. Rodkin,Rodkin,2014,X,X,,,,,
22720,69366A10,PSS WORLD MEDICAL INC,Gary,Gary A. Corless,Corless,2011,X,X,,,,,
36145,3823710,APPLIED SIGNAL TECHNOLOGY,Gary,Gary L. Yancey,Yancey,2007,X,X,,,,,
231,5301510,AUTOMATIC DATA PROCESSING,Gary,Gary C. Butler,Butler,2011,https://twitter.com/GaryCButler,GaryCButler,2019/1/26,1,19,??????,
44530,37364X10,GEOSPACE TECHNOLOGIES CORP,Gary,Gary D. Owens,Owens,2013,X,X,,,,,
23054,28367785,EL PASO ELECTRIC CO,Gary,Gary R. Hedrick,Hedrick,2006,X,X,,,,,
19966,92534N10,VERTRUE INC,Gary,Gary A. Johnson,Johnson,2006,X,X,,,,,
44227,33582V10,FIRST NIAGARA FINANCIAL GRP,Gary,Gary M. Crosby,Crosby,2015,X,X,,,,,
49278,18589910,CLEVELAND-CLIFFS INC,Gary,Gary Bernard Halverson,Halverson,2014,X,X,,,,,
42577,69487310,PACIFIC SUNWEAR CALIF INC,Gary,Gary H. Schoenfeld,Schoenfeld,2014,X,X,,,,,
37524,42193310,HEALTH MANAGEMENT ASSOC,Gary,Gary D. Newsome,Newsome,2012,https://twitter.com/HealthMgmtCEO,HealthMgmtCEO,2019/1/29,2,3,????????,
40000,28238P10,EHEALTH INC,Gary,Gary L. Lauer,Lauer,2015,X,X,,,,,
30072,92220710,VARIAN SEMICONDUCTOR EQUIPMT,Gary,Gary E. Dickerson,Dickerson,2010,X,X,,,,,
34451,14166510,CAREER EDUCATION CORP,Gary,Gary E. McCullough,McCullough,2011,X,X,,,,,
16185,2360810,AMEREN CORP,Gary,Gary L. Rainwater,Rainwater,2008,X,X,,,,,
32075,92035510,VALSPAR CORP,Gary,Gary E. Hendrickson,Hendrickson,2016,X,X,,,,,
52918,74967X10,RH,Gary,Gary G. Friedman,Friedman,2016,X,X,,,,,
18392,74385910,PROVIDENT BANKSHARES CORP,Gary,Gary N. Geisel,Geisel,2008,X,X,,,,,
39121,72941610,PLY-GEM INDUSTRIES,Gary,Gary E. Robinette,Robinette,2012,https://twitter.com/grobin20,grobin20,2019/1/29,0,20,,
34377,05367P10,AVID TECHNOLOGY INC,Gary,Gary G. Greenfield,Greenfield,2012,,,,,,,
24137,50064320,KORN/FERRY INTERNATIONAL,Gary,Gary D. Burnison,Burnison,2016,https://twitter.com/gary_burnison,gary_burnison,2019/2/3,16,4,,
16479,55262C10,MBIA INC,Gary,Gary C. Dunton,Dunton,2007,,,,,,,
48045,05566U10,BOFI HOLDING INC,Gary,Gary Lewis Evans,Evans,2007,,,,,,,
16398,12768610,CAESARS ENTERTAINMENT CORP,Gary,Gary William Loveman,Loveman,2014,X,X,,,,,
17478,26203710,DRIL-QUIP INC,Gary,Gary D. Smith,Smith,2006,,,,,,,
37841,23582520,DANA INC,Gary,Gary L. Convis,Convis,2008,,,,,,,
9182,85207U10,SPRINT CORP,Gary,Gary D. Forsee,Forsee,2007,,,,,,,
21803,59163F20,METRO ONE TELECOMM INC,Gary,Gary E. Henry,Henry,2007,,,,,,,
18806,89102710,TORCHMARK CORP,Gary,Gary Lee Coleman,Coleman,2016,X,X,,,,,
53807,7.95E+14,SALLY BEAUTY HOLDINGS INC,Gary,Gary G. Winterhalter,Winterhalter,2014,X,X,,,,,
29014,47102X10,JANUS CAPITAL GROUP INC,Gary,Gary Douglas Black,Black,2009,,,,,,,
21925,08160H10,BENCHMARK ELECTRONICS INC,Gayla,Gayla J. Delly,Delly,2016,X,X,,,,,
33226,94768410,WEBSENSE INC,Gene,Gene Hodges,Hodges,2012,,,,,,,
53287,65440K10,99 CENTS ONLY STORES,Geoffrey,Geoffrey J. Covert,Covert,2016,X,X,,,,,
7849,88162F10,TETRA TECHNOLOGIES INC/DE,Geoffrey,Geoffrey M. Hertel,Hertel,2008,,,,,,,
58352,34637510,FORMFACTOR INC,George,"George Carl Everett, Jr.","Everett, Jr.",2010,,,,,,,
25786,16282510,CHECKPOINT SYSTEMS INC,George,George W. Off,Off,2007,,,,,,,
5562,4951310,ATMEL CORP,George,George Perlegos,Perlegos,2006,,,,,,,
24532,57906410,MCAFEE INC,George,George Samenuk,Samenuk,2006,,,,,,,
35260,28885310,ELLIS PERRY INTL INC,George,George Feldenkreis,Feldenkreis,2015,X,X,,,,,
33479,91345610,UNIVERSAL CORP/VA,George,"George C. Freeman, III","Freeman, III",2016,X,X,,,,,
34652,95040Q10,WELLTOWER INC,George,George L. Chapman,Chapman,2013,,,,,,,
33610,37184D10,GENESIS HEALTHCARE CORP,George,"George V. Hager, Jr.","Hager, Jr.",2006,,,,,,,
16974,30219G10,EXPRESS SCRIPTS HOLDING CO,George,George Paz,Paz,2015,X,X,,,,,
47510,16282510,CHECKPOINT SYSTEMS INC,George,"George Babich, Jr.","Babich, Jr.",2015,X,X,,,,,
9817,74144T10,PRICE (T. ROWE) GROUP,George,George A. Roche,Roche,2006,,,,,,,
44631,50077C10,KRATON CORP,George,George B. Gregory,Gregory,2008,,,,,,,
9551,34349810,FLOWERS FOODS INC,George,George E. Deese,Deese,2012,,,,,,,
2304,91301710,UNITED TECHNOLOGIES CORP,George,George David,David,2007,,,,,,,
10924,58940010,MERCURY GENERAL CORP,George,George Victor Joseph,Joseph,2006,,,,,,,
28178,44930G10,ICU MEDICAL INC,George,George A. Lopez,Lopez,2013,,,,,,,
31198,13119310,CALLAWAY GOLF CO,George,George Fellows,Fellows,2010,,,,,,,
3231,37731610,GLATFELTER,George,"George H. Glatfelter, II","Glatfelter, II",2010,,,,,,,
3134,31677310,FIFTH THIRD BANCORP,George,"George A. Schaefer, Jr.","Schaefer, Jr.",2006,,,,,,,
13443,87403A10,TAILORED BRANDS INC,George,George A. Zimmer,Zimmer,2010,,,,,,,
44044,31620R30,FIDELITY NATL FINL FNF GROUP,George,George Patrick Scanlon,Scanlon,2013,,,,,,,
43871,09062X10,BIOGEN INC,George,George A. Scangos,Scangos,2016,X,X,,,,,
48244,85917A10,STERLING BANCORP,George,George L. Strayton,Strayton,2011,,,,,,,
8715,4626510,ASTORIA FINANCIAL CORP,George,"George L. Engelke, Jr.","Engelke, Jr.",2010,,,,,,,
33076,9970910,BORDERS GROUP INC,George,George L. Jones,Jones,2008,,,,,,,
43198,88224Q10,TEXAS CAPITAL BANCSHARES INC,George,"George F. Jones, Jr.","Jones, Jr.",2013,,,,,,,
36647,G9144210,TYCO INTERNATIONAL PLC,George,George R. Oliver,Oliver,2015,X,X,,,,,
19257,84403010,SOUTHERN UNION CO,George,George L. Lindemann,Lindemann,2011,,,,,,,
49667,64110D10,NETAPP INC,George,George Kurian,Kurian,2016,https://twitter.com/NetAppCEO,NetAppCEO,2019/2/3,0,0,????,
30535,88579Y10,3M CO,George,George W. Buckley,Buckley,2011,,,,,,,
50814,45256B10,IMPAX LABORATORIES INC,George,George Frederick Wilkinson,Wilkinson,2016,X,X,,,,,
20835,50544710,LABRANCHE & CO INC,George M.,"George M. L. LaBranche, IV","LaBranche, IV",2010,,,,,,,
38097,G4388N10,HELEN OF TROY LTD,Gerald,Gerald J. Rubin,Rubin,2013,,,,,,,
51755,71742Q10,PHIBRO ANIMAL HEALTH CORP,Gerald,Gerald Kenneth Carlson,Carlson,2014,X,X,,,,,
28562,32051710,FIRST HORIZON NATIONAL CORP,Gerald,Gerald L. Baker,Baker,2008,,,,,,,
13531,18905410,CLOROX CO/DE,Gerald,Gerald E. Johnston,Johnston,2006,,,,,,,
30090,72690010,PLANAR SYSTEMS INC,Gerald,Gerald K. Perkel,Perkel,2014,X,X,,,,,
14619,24906P10,DENTSPLY SIRONA INC,Gerald,Gerald K. Kunkle,Kunkle,2006,,,,,,,
48026,80281730,SANTARUS INC,Gerald,Gerald T. Proehl,Proehl,2012,,,,,,,
29277,24736170,DELTA AIR LINES INC,Gerald,Gerald Grinstein,Grinstein,2007,,,,,,,
6157,46120310,INVACARE CORP,Gerald,Gerald B. Blouch,Blouch,2014,X,X,,,,,
33735,89233593,TOYS R US INC,Gerald,Gerald L. Storch,Storch,2012,,,,,,,
35362,20064110,COMMERCE GROUP INC/MA,Gerald,Gerald Lawrence Fels,Fels,2007,,,,,,,
38496,09180C10,BJ'S RESTAURANTS INC,Gerald,Gerald W. Deitchle,Deitchle,2012,,,,,,,
14221,02376R10,AMERICAN AIRLINES GROUP INC,Gerard,Gerard J. Arpey,Arpey,2011,,,,,,,
36457,88268110,TEXAS ROADHOUSE INC,Gerard,Gerard J. Hart,Hart,2011,,,,,,,
37694,88517530,THORATEC CORP,Gerhard,Gerhard F. Burbach,Burbach,2014,X,X,,,,,
36625,2.61E+14,DR PEPPER SNAPPLE GROUP INC,Gilbert,Gilbert M. Cassagne,Cassagne,2007,,,,,,,
28126,45252600,IMMUCOR INC,Gioacchino,Gioacchino Eatz De Chirico,De Chirico,2010,,,,,,,
55047,67555N20,OCLARO INC,Giorgio,Giorgio Anania,Anania,2007,,,,,,,
42899,01988P10,ALLSCRIPTS HEALTHCARE SOLTNS,Glen,Glen E. Tullman,Tullman,2012,,,,,,,
19549,56357140,MANITOWOC CO,Glen,Glen E. Tellock,Tellock,2015,X,X,,,,,
45909,69332020,PHH CORP,Glen,Glen A. Messina,Messina,2016,X,X,,,,,
33394,41031510,HANDY & HARMAN LTD,Glen,Glen M. Kassan,Kassan,2012,,,,,,,
36129,91704710,URBAN OUTFITTERS INC,Glen,Glen T. Senk,Senk,2011,,,,,,,
31857,01999Y93,ALLSCRIPTS HLTHCR SOLTNS-OLD,Glen,Glen E. Tullman,Tullman,2008,,,,,,,
33709,89591910,TRIDENT MICROSYSTEMS INC,Glen,Glen M. Antle,Antle,2007,,,,,,,
34180,36476010,GAP INC,Glenn,"Glenn K. Murphy, B.A., BA","Murphy, B.A., BA",2014,X,X,,,,,
26312,91004710,UNITED CONTINENTAL HLDGS INC,Glenn,Glenn F. Tilton,Tilton,2010,,,,,,,
34951,63713810,NATIONAL PENN BANCSHARES INC,Glenn,Glenn E. Moyer,Moyer,2010,,,,,,,
23000,64805310,NEW PLAN EXCEL REALTY TR,Glenn,Glenn J. Rufrano,Rufrano,2008,,,,,,,
37598,88732J20,TIME WARNER CABLE INC,Glenn,Glenn Alan Britt,Britt,2013,,,,,,,
30889,74837R10,QUICKSILVER RESOURCES INC,Glenn,Glenn M. Darden,Darden,2014,X,X,,,,,
11997,74331510,PROGRESSIVE CORP-OHIO,Glenn,Glenn Morris Renwick,Renwick,2015,X,X,,,,,
29546,31792310,FINISH LINE INC -CL A,Glenn,Glenn S. Lyon,Lyon,2015,X,X,,,,,
32022,15352720,CENTRAL GARDEN & PET CO,Glenn,Glenn W. Novotny,Novotny,2007,,,,,,,
24618,44914M10,HYPERION SOLUTIONS CORP,Godfrey,Godfrey R. Sullivan,Sullivan,2006,,,,,,,
56144,G9019D10,TRAVELPORT WORLDWIDE LTD,Gordon,Gordon A. Wilson,Wilson,2016,https://twitter.com/GordonWTravel,GordonWTravel,2019/2/3,19,0,??19??,
18590,30226D10,EXTREME NETWORKS INC,Gordon,Gordon L. Stitt,Stitt,2006,,,,,,,
37541,18538R10,CLEARWATER PAPER CORP,Gordon,Gordon L. Jones,Jones,2012,,,,,,,
28876,53700810,LITTELFUSE INC,Gordon,Gordon B. Hunter,Hunter,2016,X,X,,,,,
52381,98933Q10,ZELTIQ AESTHETICS INC,Gordon,Gordon E. Nye,Nye,2011,,,,,,,
30259,87901J10,TEGNA INC,Gracia,Gracia Catherine Martore,Martore,2016,https://twitter.com/gramart,gramart,2019/2/3,0,0,???????????????,
51015,75008610,RACKSPACE HOSTING INC,Graham,Graham M. Weston,Weston,2014,https://twitter.com/gweston,gweston,2019/2/20,,,????????,
53366,22704610,CROCS INC,Gregg,Gregg S. Ribatt,Ribatt,2016,X,X,,,,,
47714,96624410,WHITEWAVE FOODS CO,Gregg,Gregg L. Engles,Engles,2016,X,X,,,,,
34155,24237020,DEAN FOODS CO,Gregg,Gregg A. Tanner,Tanner,2016,X,X,,,,,
35113,88034910,TENNECO INC,Gregg,Gregg M. Sherrill,Sherrill,2016,X,X,,,,,
27563,66765510,NORTHWEST NATURAL GAS CO,Gregg,Gregg S. Kantor,Kantor,2016,X,X,,,,,
4746,8.76E+14,TARGET CORP,Gregg,Gregg W. Steinhafel,Steinhafel,2013,,,,,,,
4318,59407910,MICHAEL FOODS INC,Gregg,Gregg A. Ostrander,Ostrander,2009,,,,,,,
15802,24237020,DEAN FOODS CO,Gregg,Gregg L. Engles,Engles,2010,,,,,,,
27721,63910B10,NAUTILUS INC,Greggory,Greggory C. Hammann,Hammann,2007,,,,,,,
49558,45811810,INTEGRATED DEVICE TECH INC,Gregory,Gregory L. Waters,Waters,2016,X,X,,,,,
32582,84756010,SPECTRA ENERGY CORP,Gregory,Gregory Lorne Ebel,Ebel,2016,https://twitter.com/gregebel,gregebel,2019/2/4,0,0,?????????????,
44504,36930010,GENERAL CABLE CORP/DE,Gregory,Gregory B. Kenny,Kenny,2014,X,X,,,,,
9823,95075510,WERNER ENTERPRISES INC,Gregory,Gregory L. Werner,Werner,2015,X,X,,,,,
36086,53217V10,LIFE TECHNOLOGIES CORP,Gregory,Gregory T. Lucier,Lucier,2012,,,,,,,
18816,78354910,RYDER SYSTEM INC,Gregory,Gregory T. Swienton,Swienton,2012,,,,,,,
29716,4.63E+97,IPAYMENT INC,Gregory,Gregory S. Daily,Daily,2010,,,,,,,
43210,76657R10,RIGHTNOW TECHNOLOGIES INC,Gregory,Gregory R. Gianforte,Gianforte,2010,,,,,,,
23847,6780610,BARNES GROUP INC,Gregory,Gregory F. Milzcik,Milzcik,2012,,,,,,,
28822,70455110,PEABODY ENERGY CORP,Gregory,Gregory H. Boyce,Boyce,2014,X,X,,,,,
42908,14428510,CARPENTER TECHNOLOGY CORP,Gregory,Gregory A. Pratt,Pratt,2015,X,X,,,,,
24093,45811810,INTEGRATED DEVICE TECH INC,Gregory,Gregory S. Lang,Lang,2007,,,,,,,
46539,40204010,GUITAR CENTER INC,Gregory,Gregory A. Trojan,Trojan,2012,,,,,,,
55633,87150310,SYMANTEC CORP,Gregory,Gregory S. Clark,Clark,2016,X,X,,,,,
36370,71714F10,PHARMERICA CORP,Gregory,Gregory S. Weishar,Weishar,2016,X,X,,,,,
53009,05990K10,BANC OF CALIFORNIA INC,Gregory,Gregory A. Mitchell,Mitchell,2012,,,,,,,
39098,59598X00,PACIFICORP,Gregory,Gregory Edward Abel,Abel,2016,X,X,,,,,
31903,93142710,WALGREENS BOOTS ALLIANCE INC,Gregory,Gregory David Wasson,Wasson,2014,https://twitter.com/GregWasson3,GregWasson3,2019/2/20,,,????????????LINKEDIN???????????,
36538,3760401,APOLLO EDUCATION GROUP INC,Gregory,Gregory W. Cappelli,Cappelli,2016,https://twitter.com/gregwcappelli,gregwcappelli,2019/2/4,0,0,?????????????,
301,6790110,BARRICK GOLD CORP,Gregory,Gregory C. Wilkins,Wilkins,2007,,,,,,,
16611,71404610,PERKINELMER INC,Gregory,Gregory L. Summe,Summe,2007,,,,,,,
31811,82881510,SIMON WORLDWIDE INC,Gregory,Gregory Mays,Mays,2014,X,X,,,,,
31245,44919P50,IAC/INTERACTIVECORP,Gregory,Gregory R. Blatt,Blatt,2013,,,,,,,
38300,69344F10,PMC-SIERRA INC,Gregory,Gregory S. Lang,Lang,2014,X,X,,,,,
21810,67082310,O'CHARLEY'S INC,Gregory,Gregory L. Burns,Burns,2008,,,,,,,
31191,45715310,INGRAM MICRO INC,Gregory M.,Gregory M. E. Spierkel,Spierkel,2011,,,,,,,
44955,98419M10,XYLEM INC,Gretchen,Gretchen W. McClain,McClain,2013,,,,,,,
42972,77504310,ROFIN SINAR TECHNOLOGIES INC,Guenther,Guenther Braun,Braun,2015,X,X,,,,,
8836,12550910,CIGNA CORP,H.,H. Edward Hanway,Hanway,2009,,,,,,,
23943,34699Q93,FOREST OIL CORP -OLD,H.,H. Craig Clark,Clark,2012,,,,,,,
46043,88023U10,TEMPUR SEALY INTL INC,H.,H. Thomas Bryant,Bryant,2008,,,,,,,
45079,12507110,CDI CORP,H.,H. Paulett Eberhart,Eberhart,2013,,,,,,,
29001,70788V10,PENN VIRGINIA CORP,H.,H. Baird Whitehead,Whitehead,2015,X,X,,,,,
14848,93114210,WALMART INC,H.,"H. Lee Scott, Jr.","Scott, Jr.",2008,,,,,,,
12655,23585110,DANAHER CORP,H.,"H. Lawrence Culp, Jr.","Culp, Jr.",2014,https://twitter.com/larryculpjr,larryculpjr,2019/2/20,,,,
17034,37153210,GENESCO INC,Hal,Hal N. Pennington,Pennington,2007,,,,,,,
27088,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,2010,,,,,,,
27222,46612K10,JDA SOFTWARE GROUP INC,Hamish,Hamish N. J. Brewer,Brewer,2011,,,,,,,
53016,05990K10,BANC OF CALIFORNIA INC,Hans,Hans R. Ganz,Ganz,2010,,,,,,,
1127,42345210,HELMERICH & PAYNE,Hans,"Hans Christian Helmerich, III","Helmerich, III",2013,,,,,,,
30801,797310,ADVANCED ENERGY INDS INC,Hans-Georg,Hans-Georg Betz,Betz,2011,,,,,,,
15536,74006510,PREPAID LEGAL SERVICES INC,Harland,Harland C. Stonecipher,Stonecipher,2009,,,,,,,
29920,85931930,STERLING FINANCIAL CORP/WA,Harold,Harold B. Gilkey,Gilkey,2009,,,,,,,
1455,78409V10,S&P GLOBAL INC,Harold,"Harold Whittlesey McGraw, III","McGraw, III",2013,,,,,,,
30604,75091710,RAMBUS INC,Harold,"Harold E. Hughes, Jr.","Hughes, Jr.",2011,,,,,,,
14553,84546710,SOUTHWESTERN ENERGY CO,Harold,Harold M. Korell,Korell,2008,,,,,,,
37005,97809310,WOLVERINE TUBE INC,Harold,Harold M. Karp,Karp,2008,,,,,,,
3897,83549510,SONOCO PRODUCTS CO,Harris,"Harris E. DeLoach, Jr.","DeLoach, Jr.",2012,,,,,,,
45313,81799P95,SERVICEMASTER CO,Harry,"Harry J. Mullany, III","Mullany, III",2012,,,,,,,
17705,74727710,QLOGIC CORP,Harshad,Harshad K. Desai,Desai,2010,,,,,,,
6088,39843310,GRIFFON CORP,Harvey,Harvey R. Blau,Blau,2008,,,,,,,
19961,776810,AEROFLEX INC,Harvey,Harvey R. Blau,Blau,2006,,,,,,,
47493,09578R10,BLUE NILE INC,Harvey,Harvey S. Kanter,Kanter,2015,X,X,,,,,
38104,94946T10,WELLCARE HEALTH PLANS INC,Heath,Heath G. Schiesser,Schiesser,2009,,,,,,,
21115,790310,ADVANCED MICRO DEVICES,Hector de,Hector de Jesus Ruiz,Ruiz,2008,,,,,,,
4194,37291710,GENZYME CORP,Henri,Henri A. Termeer,Termeer,2010,,,,,,,
15843,95710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,2014,X,X,,,,,
19677,93005910,WADDELL&REED FINL INC -CL A,Henry,"Henry John Herrmann, CFA","Herrmann, CFA",2016,X,X,,,,,
